Code_UAI;services_num
0120038B;Trés bien
0120096P;Bien
0120622L;Trés bien
0121133S;Trés bien
0121273U;Bien
0121297V;Bien
0300002P;Bien
0300031W;Trés bien
0300032X;Trés bien
0300043J;Bien
0300062E;Bien
0300949U;Bien
0300950V;Trés bien
0301012M;Bien
0301325C;Bien
0301671D;Trés bien
0310003K;Trés bien
0310005M;Bien
0310021E;Bien
0310028M;Trés bien
0310056T;Trés bien
0310057U;Trés bien
0310091F;Trés bien
0311092U;Trés bien
0311240E;Trés bien
0311321T;Bien
0311580Z;Bien
0311634H;Bien
0311718Z;Bien
0311772H;Bien
0312093G;Trés bien
0312609T;Bien
0312697N;Bien
0312743N;Trés bien
0312744P;Bien
0312746S;Bien
0312868Z;Trés bien
0320001C;Bien
0320010M;Trés bien
0320029H;Trés bien
0320031K;Bien
0320040V;Bien
0320740F;Trés bien
0340006X;Trés bien
0340021N;Bien
0340032A;Bien
0340059E;Trés bien
0340063J;Trés bien
0340075X;Trés bien
0340088L;Trés bien
0341028H;Trés bien
0341656R;Trés bien
0342066L;Bien
0342090M;Trés bien
0460001B;Trés bien
0460007H;Bien
0460010L;Trés bien
0460015S;Trés bien
0460493L;Bien
0460593V;Bien
0460594W;Bien
0480006W;Trés bien
0480013D;Bien
0480017H;Bien
0650005C;Trés bien
0650012K;Trés bien
0650019T;Trés bien
0650037M;Bien
0650088T;Bien
0650740B;Bien
0660018L;Trés bien
0660021P;Trés bien
0660029Y;Trés bien
0660601V;Bien
0090002D;Trés bien
0090003E;Bien
0090006H;Bien
0090018W;Bien
0090055L;Trés bien
0110010B;Trés bien
0110019L;Bien
0110023R;Bien
0110037F;Bien
0110676A;Trés bien
0110724C;Trés bien
0110870L;Bien
0120002M;Bien
0120014A;Bien
0120025M;Bien
0120028R;Trés bien
0120031U;Bien
0121176N;Trés bien
0300002P;Bien
0301654K;Bien
0301722J;Trés bien
0301723K;Bien
0310006N;Bien
0310040A;Bien
0310041B;Bien
0310046G;Trés bien
0310047H;Bien
0310051M;Trés bien
0310084Y;Trés bien
0311231V;Bien
0311240E;Trés bien
0311263E;Trés bien
0311687R;Bien
0311850T;Trés bien
0312139G;Trés bien
0312611V;Bien
0312697N;Bien
0312868Z;Trés bien
0320001C;Bien
0320011N;Trés bien
0320013R;Bien
